prism:url	dc:identifier	dc:title	prism:publicationName	prism:coverDate	citedby-count	affiliation	institution_1	country_1	fundus_in_title	pub_year	abstract
https://api.elsevier.com/content/abstract/scopus_id/85098722951	SCOPUS_ID:85098722951	Human Identification with Dental Panoramic Images Based on Deep Learning	Sensing and Imaging	2021-12-01	0	Sichuan University, Chengdu, China	Sichuan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098722951
https://api.elsevier.com/content/abstract/scopus_id/85098735942	SCOPUS_ID:85098735942	Machine learning-based prediction of COVID-19 diagnosis based on symptoms	npj Digital Medicine	2021-12-01	0	Tel Aviv University, Sackler Faculty of Medicine, Ramal Aviv, Israel	Tel Aviv University, Sackler Faculty of Medicine	Israel	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098735942
https://api.elsevier.com/content/abstract/scopus_id/85100847460	SCOPUS_ID:85100847460	CHICKN: extraction of peptide chromatographic elution profiles from large scale mass spectrometry data by means of Wasserstein compressive hierarchical cluster analysis	BMC Bioinformatics	2021-12-01	0	Universite Grenoble Alpes, Saint Martin d'Heres, France	Universite Grenoble Alpes	France	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100847460
https://api.elsevier.com/content/abstract/scopus_id/85099397171	SCOPUS_ID:85099397171	SDPSO: Spark Distributed PSO-based approach for feature selection and cancer disease prognosis	Journal of Big Data	2021-12-01	0	Université Sidi Mohamed Ben Abdellah, Fez, Morocco	Université Sidi Mohamed Ben Abdellah	Morocco	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099397171
https://api.elsevier.com/content/abstract/scopus_id/85100093561	SCOPUS_ID:85100093561	DeepLPI: a multimodal deep learning method for predicting the interactions between lncRNAs and protein isoforms	BMC Bioinformatics	2021-12-01	0	University of California, Riverside, Riverside, United States	University of California, Riverside	United States	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100093561
https://api.elsevier.com/content/abstract/scopus_id/85098655436	SCOPUS_ID:85098655436	QKI is a critical pre-mRNA alternative splicing regulator of cardiac myofibrillogenesis and contractile function	Nature Communications	2021-12-01	0	Children’s Hospital of Fudan University, Shanghai, China++Indiana University School of Medicine, Indianapolis, United States++Fudan University, Shanghai, China	Children’s Hospital of Fudan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098655436
https://api.elsevier.com/content/abstract/scopus_id/85102652490	SCOPUS_ID:85102652490	Efficient deep feature extraction and classification for identifying defective photovoltaic module cells in Electroluminescence images	Expert Systems with Applications	2021-08-01	0	Harran Üniversitesi, Sanliurfa, Turkey	Harran Üniversitesi	Turkey	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102652490
https://api.elsevier.com/content/abstract/scopus_id/85102245897	SCOPUS_ID:85102245897	Viewpoint adaptation learning with cross-view distance metric for robust vehicle re-identification	Information Sciences	2021-07-01	0	Nanchang University, Nanchang, China	Nanchang University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102245897
https://api.elsevier.com/content/abstract/scopus_id/85099953849	SCOPUS_ID:85099953849	Global matching in music familiarity: How musical features combine across memory traces to increase familiarity with the whole in which they are embedded	Journal of Memory and Language	2021-06-01	0	Colorado State University, Fort Collins, United States	Colorado State University	United States	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099953849
https://api.elsevier.com/content/abstract/scopus_id/85101391885	SCOPUS_ID:85101391885	Pixel-level bridge crack detection using a deep fusion about recurrent residual convolution and context encoder network	Measurement: Journal of the International Measurement Confederation	2021-05-01	0	Chang'an University, Xi'an, China	Chang'an University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101391885
https://api.elsevier.com/content/abstract/scopus_id/85100689451	SCOPUS_ID:85100689451	Multi-objective genetic programming for feature learning in face recognition	Applied Soft Computing	2021-05-01	0	Victoria University of Wellington, Wellington, New Zealand	Victoria University of Wellington	New Zealand	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100689451
https://api.elsevier.com/content/abstract/scopus_id/85101513150	SCOPUS_ID:85101513150	A 3D densely connected convolution neural network with connection-wise attention mechanism for Alzheimer's disease classification	Magnetic Resonance Imaging	2021-05-01	0	Shenzhen Institute of Advanced Technology, Shenzhen, China++Chongqing University of Technology, Chongqing, China	Shenzhen Institute of Advanced Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101513150
https://api.elsevier.com/content/abstract/scopus_id/85102618893	SCOPUS_ID:85102618893	Correlation filter via random-projection based CNNs features combination for visual tracking	Journal of Visual Communication and Image Representation	2021-05-01	0	Shaanxi University of Science and Technology, Xinyang, China	Shaanxi University of Science and Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102618893
https://api.elsevier.com/content/abstract/scopus_id/85101088036	SCOPUS_ID:85101088036	Face spoofing detection under super-realistic 3D wax face attacks	Pattern Recognition Letters	2021-05-01	0	Wuhan University, Wuhan, China	Wuhan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101088036
https://api.elsevier.com/content/abstract/scopus_id/85100689506	SCOPUS_ID:85100689506	Deep neural network features fusion and selection based on PLS regression with an application for crops diseases classification	Applied Soft Computing	2021-05-01	0	COMSATS University Islamabad, Islamabad, Pakistan	COMSATS University Islamabad	Pakistan	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100689506
https://api.elsevier.com/content/abstract/scopus_id/85096864735	SCOPUS_ID:85096864735	Breast calcification detection based on multichannel radiofrequency signals via a unified deep learning framework	Expert Systems with Applications	2021-04-15	0	Fudan University, Shanghai, China++Key Laboratory of Medical Imaging Computing and Computer Assisted Intervention of Shanghai, Shanghai, China	Fudan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85096864735
https://api.elsevier.com/content/abstract/scopus_id/85100257384	SCOPUS_ID:85100257384	Review of moisture measurements in civil engineering with ground penetrating radar – Applied methods and signal features	Construction and Building Materials	2021-04-05	0	Federal Institute for Materials Research and Testing Berlin, Berlin, Germany	Federal Institute for Materials Research and Testing Berlin	Germany	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100257384
https://api.elsevier.com/content/abstract/scopus_id/85096965942	SCOPUS_ID:85096965942	Novel Similarity Metric Learning Using Deep Learning and Root SIFT for Person Re-identification	Wireless Personal Communications	2021-04-01	0	SRM Institute of Science and Technology, Chennai, India	SRM Institute of Science and Technology	India	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85096965942
