prism:url	dc:identifier	dc:title	prism:publicationName	prism:coverDate	citedby-count	affiliation	institution_1	country_1	fundus_in_title	pub_year	abstract
https://api.elsevier.com/content/abstract/scopus_id/85101906785	SCOPUS_ID:85101906785	A review of multimodal image matching: Methods and applications	Information Fusion	2021-09-01	0	Wuhan University, Wuhan, China	Wuhan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101906785
https://api.elsevier.com/content/abstract/scopus_id/85103284055	SCOPUS_ID:85103284055	Tumor attention networks: Better feature selection, better tumor segmentation	Neural Networks	2021-08-01	0	Macquarie University, North Ryde, Australia	Macquarie University	Australia	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103284055
https://api.elsevier.com/content/abstract/scopus_id/85101210512	SCOPUS_ID:85101210512	Application and challenges of deep learning in the intelligent processing of medical images	Journal of Image and Graphics	2021-02-16	0	University of Shanghai for Science and Technology, Shanghai, China	University of Shanghai for Science and Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101210512
https://api.elsevier.com/content/abstract/scopus_id/85090980993	SCOPUS_ID:85090980993	A survey on deep learning in medicine: Why, how and when?	Information Fusion	2021-02-01	4	Università degli Studi di Napoli Federico II, Naples, Italy	Università degli Studi di Napoli Federico II	Italy	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85090980993
https://api.elsevier.com/content/abstract/scopus_id/85089484002	SCOPUS_ID:85089484002	A deep-learning approach for foot-type classification using heterogeneous pressure data	Sensors (Switzerland)	2020-08-02	1	Pusan National University, Busan, South Korea	Pusan National University	South Korea	0	2020	https://api.elsevier.com/content/abstract/scopus_id/85089484002
https://api.elsevier.com/content/abstract/scopus_id/85097382351	SCOPUS_ID:85097382351	Wavelet Features of the Thickness Map of Retinal Ganglion Cell-Inner Plexiform Layer Best Discriminate Prior Optic Neuritis in Patients with Multiple Sclerosis	IEEE Access	2020-01-01	0	Bascom Palmer Eye Institute, Miami, United States++Wenzhou Medical University, Wenzhou, China	Bascom Palmer Eye Institute	United States	0	2020	https://api.elsevier.com/content/abstract/scopus_id/85097382351
https://api.elsevier.com/content/abstract/scopus_id/85078657656	SCOPUS_ID:85078657656	Human Tongue Thermography Could Be a Prognostic Tool for Prescreening the Type II Diabetes Mellitus	Evidence-based Complementary and Alternative Medicine	2020-01-01	3	SRM Institute of Science and Technology, Chennai, India	SRM Institute of Science and Technology	India	0	2020	https://api.elsevier.com/content/abstract/scopus_id/85078657656
https://api.elsevier.com/content/abstract/scopus_id/85071291867	SCOPUS_ID:85071291867	Enhancing cardiovascular artificial intelligence (AI) research in the Netherlands: CVON-AI consortium	Netherlands Heart Journal	2019-09-01	4	University of Groningen, University Medical Center Groningen, Groningen, Netherlands	University of Groningen, University Medical Center Groningen	Netherlands	0	2019	https://api.elsevier.com/content/abstract/scopus_id/85071291867
https://api.elsevier.com/content/abstract/scopus_id/85070853536	SCOPUS_ID:85070853536	A primer in artificial intelligence in cardiovascular medicine	Netherlands Heart Journal	2019-09-01	15	University of Groningen, University Medical Center Groningen, Groningen, Netherlands	University of Groningen, University Medical Center Groningen	Netherlands	0	2019	https://api.elsevier.com/content/abstract/scopus_id/85070853536
https://api.elsevier.com/content/abstract/scopus_id/85067641653	SCOPUS_ID:85067641653	Automated Recognition of Retinopathy of Prematurity with Deep Neural Networks	Journal of Physics: Conference Series	2019-05-08	0	Sichuan University, Chengdu, China	Sichuan University	China	0	2019	https://api.elsevier.com/content/abstract/scopus_id/85067641653
https://api.elsevier.com/content/abstract/scopus_id/85059799999	SCOPUS_ID:85059799999	Baicalin protects human retinal pigment epithelial cell lines against high glucose-induced cell injury by up-regulation of microRNA-145	Experimental and Molecular Pathology	2019-02-01	10	Binzhou Medical College, Binzhou, China++Shandong Provincial Hospital, Jinan, China	Binzhou Medical College	China	0	2019	https://api.elsevier.com/content/abstract/scopus_id/85059799999
https://api.elsevier.com/content/abstract/scopus_id/85053556732	SCOPUS_ID:85053556732	Analysing the power of deep learning techniques over the traditional methods using medicare utilisation and provider data	Journal of Experimental and Theoretical Artificial Intelligence	2019-01-02	5	University of Central Florida, Orlando, United States	University of Central Florida	United States	0	2019	https://api.elsevier.com/content/abstract/scopus_id/85053556732
https://api.elsevier.com/content/abstract/scopus_id/85069832211	SCOPUS_ID:85069832211	Cluster analysis for diabetic retinopathy prediction using data mining techniques	International Journal of Business Information Systems	2019-01-01	0	Amity University, Noida, Noida, India	Amity University, Noida	India	0	2019	https://api.elsevier.com/content/abstract/scopus_id/85069832211
https://api.elsevier.com/content/abstract/scopus_id/85069516295	SCOPUS_ID:85069516295	Deep learning and big datatechnologies in medical image analysis	PDGC 2018 - 2018 5th International Conference on Parallel, Distributed and Grid Computing	2018-12-01	0	The NorthCap University, Gurgaon HR,, India	The NorthCap University	India	0	2018	https://api.elsevier.com/content/abstract/scopus_id/85069516295
