prism:url	dc:identifier	dc:title	prism:publicationName	prism:coverDate	citedby-count	affiliation	institution_1	country_1	fundus_in_title	pub_year	abstract
https://api.elsevier.com/content/abstract/scopus_id/85103216264	SCOPUS_ID:85103216264	Evaluation of lung involvement in COVID-19 pneumonia based on ultrasound images	BioMedical Engineering Online	2021-12-01	0	Fudan University, Shanghai, China	Fudan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103216264
https://api.elsevier.com/content/abstract/scopus_id/85103304042	SCOPUS_ID:85103304042	Compare and contrast: Detecting mammographic soft-tissue lesions with C<sup>2</sup>-Net	Medical Image Analysis	2021-07-01	0	TAL AI Lab, Beijing, China	TAL AI Lab	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103304042
https://api.elsevier.com/content/abstract/scopus_id/85102976385	SCOPUS_ID:85102976385	PA-Net: Learning local features using by pose attention for short-term person re-identification	Information Sciences	2021-07-01	0	Nankai University, Tianjin, China++Key Laboratory for Medical Data Analysis and Statistical Research of Tianjin, Tianjin, China	Nankai University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102976385
https://api.elsevier.com/content/abstract/scopus_id/85102429889	SCOPUS_ID:85102429889	Adaptive online incremental learning for evolving data streams	Applied Soft Computing	2021-07-01	0	China University of Petroleum-Beijing, Beijing, China	China University of Petroleum-Beijing	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102429889
https://api.elsevier.com/content/abstract/scopus_id/85098474683	SCOPUS_ID:85098474683	Exploring neural models for predicting dementia from language	Computer Speech and Language	2021-07-01	0	The University of British Columbia, Vancouver, Canada	The University of British Columbia	Canada	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098474683
https://api.elsevier.com/content/abstract/scopus_id/85102076367	SCOPUS_ID:85102076367	Image super-resolution via enhanced multi-scale residual network	Journal of Parallel and Distributed Computing	2021-06-01	0	Sichuan University, Chengdu, China	Sichuan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102076367
https://api.elsevier.com/content/abstract/scopus_id/85102479652	SCOPUS_ID:85102479652	Predicting Grain Losses and Waste Rate along the Entire Chain: A Multitask Multigated Recurrent Unit Autoencoder Based Method	IEEE Transactions on Industrial Informatics	2021-06-01	1	Nanjing University of Finance and EcoNomics, Nanjing, China	Nanjing University of Finance and EcoNomics	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102479652
https://api.elsevier.com/content/abstract/scopus_id/85100770385	SCOPUS_ID:85100770385	Multi-level colonoscopy malignant tissue detection with adversarial CAC-UNet	Neurocomputing	2021-05-28	0	Beijing University of Posts and Telecommunications, Beijing, China	Beijing University of Posts and Telecommunications	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100770385
https://api.elsevier.com/content/abstract/scopus_id/85100239361	SCOPUS_ID:85100239361	Massive-scale graph-clustering-based data management based on multi-metrics	Future Generation Computer Systems	2021-05-01	0	Guangdong University of Finance, Guangzhou, China	Guangdong University of Finance	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100239361
https://api.elsevier.com/content/abstract/scopus_id/85101506206	SCOPUS_ID:85101506206	Bilateral attention decoder: A lightweight decoder for real-time semantic segmentation	Neural Networks	2021-05-01	0	Wuhan University, Wuhan, China	Wuhan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101506206
https://api.elsevier.com/content/abstract/scopus_id/85102793441	SCOPUS_ID:85102793441	2D progressive fusion module for action recognition	Image and Vision Computing	2021-05-01	0	Jiangnan University, Wuxi, China	Jiangnan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102793441
https://api.elsevier.com/content/abstract/scopus_id/85101112161	SCOPUS_ID:85101112161	Few-shot fine-grained classification with Spatial Attentive Comparison[Formula presented]	Knowledge-Based Systems	2021-04-22	0	Southeast University, Nanjing, Nanjing, China	Southeast University, Nanjing	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101112161
https://api.elsevier.com/content/abstract/scopus_id/85101068169	SCOPUS_ID:85101068169	Information aggregation and fusion in deep neural networks for object interaction exploration for semantic segmentation	Knowledge-Based Systems	2021-04-22	0	Beijing Jiaotong University, Beijing, China	Beijing Jiaotong University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101068169
https://api.elsevier.com/content/abstract/scopus_id/85101389096	SCOPUS_ID:85101389096	Graph neural network for 6D object pose estimation[Formula presented]	Knowledge-Based Systems	2021-04-22	0	South China University of Technology, Guangzhou, China++Ministry of Education China, Beijing, China	South China University of Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101389096
https://api.elsevier.com/content/abstract/scopus_id/85101612204	SCOPUS_ID:85101612204	Image Deblurring Based on the High-Resolution Preservation Network	Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology	2021-04-15	0	Tianjin University, Tianjin, China	Tianjin University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101612204
https://api.elsevier.com/content/abstract/scopus_id/85101446068	SCOPUS_ID:85101446068	UniFuse: Unidirectional Fusion for 360° Panorama Depth Estimation	IEEE Robotics and Automation Letters	2021-04-01	0	The Chinese University of Hong Kong, Shenzhen, Shenzhen, China	The Chinese University of Hong Kong, Shenzhen	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101446068
