prism:url	dc:identifier	dc:title	prism:publicationName	prism:coverDate	citedby-count	affiliation	institution_1	country_1	fundus_in_title	pub_year	abstract
https://api.elsevier.com/content/abstract/scopus_id/85102853467	SCOPUS_ID:85102853467	A multi-phase deep CNN based mitosis detection framework for breast cancer histopathological images	Scientific Reports	2021-12-01	0	Pakistan Institute of Engineering and Applied Sciences, Islamabad, Pakistan	Pakistan Institute of Engineering and Applied Sciences	Pakistan	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102853467
https://api.elsevier.com/content/abstract/scopus_id/85099791082	SCOPUS_ID:85099791082	Self-adaptive trajectory prediction for improving traffic safety in cloud-edge based transportation systems	Journal of Cloud Computing	2021-12-01	0	Nanjing University of Science and Technology, Nanjing, China++Shanghai Lunion Intelligent Technology Co., Ltd. (LunionData), Shanghai, China	Nanjing University of Science and Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099791082
https://api.elsevier.com/content/abstract/scopus_id/85098938682	SCOPUS_ID:85098938682	Deep learning-enabled medical computer vision	npj Digital Medicine	2021-12-01	2	Salesforce.com, Inc., San Francisco, United States	Salesforce.com, Inc.	United States	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098938682
https://api.elsevier.com/content/abstract/scopus_id/85101906785	SCOPUS_ID:85101906785	A review of multimodal image matching: Methods and applications	Information Fusion	2021-09-01	0	Wuhan University, Wuhan, China	Wuhan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101906785
https://api.elsevier.com/content/abstract/scopus_id/85103405327	SCOPUS_ID:85103405327	A stacking ensemble classifier with handcrafted and convolutional features for wafer map pattern classification	Computers in Industry	2021-08-01	0	Sungkyunkwan University, Jongno-gu, South Korea	Sungkyunkwan University	South Korea	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103405327
https://api.elsevier.com/content/abstract/scopus_id/85103390497	SCOPUS_ID:85103390497	Vector of Locally and Adaptively Aggregated Descriptors for Image Feature Representation	Pattern Recognition	2021-08-01	0	Zhejiang International Studies University, Hangzhou, China	Zhejiang International Studies University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103390497
https://api.elsevier.com/content/abstract/scopus_id/85100005893	SCOPUS_ID:85100005893	A cost-effective manufacturing process recognition approach based on deep transfer learning for CPS enabled shop-floor	Robotics and Computer-Integrated Manufacturing	2021-08-01	0	School of Mechanical and Aerospace Engineering, Singapore City, Singapore++Northwestern Polytechnical University, Xi'an, China	School of Mechanical and Aerospace Engineering	Singapore	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100005893
https://api.elsevier.com/content/abstract/scopus_id/85103243178	SCOPUS_ID:85103243178	Image super-resolution using multi-granularity perception and pyramid attention networks	Neurocomputing	2021-07-05	0	Northeastern University, China, Shenyang, China	Northeastern University, China	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103243178
https://api.elsevier.com/content/abstract/scopus_id/85101395617	SCOPUS_ID:85101395617	Abnormal crowd density estimation in aerial images based on the deep and handcrafted features fusion	Expert Systems with Applications	2021-07-01	0	University of Sfax, Sfax, Tunisia	University of Sfax	Tunisia	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101395617
https://api.elsevier.com/content/abstract/scopus_id/85098643099	SCOPUS_ID:85098643099	Dermatoscopy using multi-layer perceptron, convolution neural network, and capsule network to differentiate malignant melanoma from benign nevus	International Journal of Healthcare Information Systems and Informatics	2021-07-01	1	University of Petroleum and Energy Studies, Dehradun, India	University of Petroleum and Energy Studies	India	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098643099
https://api.elsevier.com/content/abstract/scopus_id/85101093642	SCOPUS_ID:85101093642	Pedestrian detection with super-resolution reconstruction for low-quality image	Pattern Recognition	2021-07-01	0	Beijing Jiaotong University, Beijing, China	Beijing Jiaotong University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101093642
https://api.elsevier.com/content/abstract/scopus_id/85101403124	SCOPUS_ID:85101403124	Deep ad-hoc beamforming	Computer Speech and Language	2021-07-01	0	Northwestern Polytechnical University, Xi'an, China	Northwestern Polytechnical University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101403124
https://api.elsevier.com/content/abstract/scopus_id/85102044318	SCOPUS_ID:85102044318	Maceral groups analysis of coal based on semantic segmentation of photomicrographs via the improved U-net	Fuel	2021-06-15	0	China University of Mining and Technology, Xuzhou, China	China University of Mining and Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102044318
